Vivado Simulator 2019.2
Time resolution is 1 ps
Time=0 | ps=0 | M1=001 M2=001 MT=100 S=100
Time=95000 | ps=1 | M1=001 M2=010 MT=100 S=100
Time=125000 | ps=2 | M1=001 M2=100 MT=001 S=100
Time=185000 | ps=3 | M1=010 M2=100 MT=010 S=100
Time=215000 | ps=4 | M1=100 M2=100 MT=100 S=001
Time=255000 | ps=5 | M1=100 M2=100 MT=100 S=010
Time=285000 | ps=0 | M1=001 M2=001 MT=100 S=100
Time=365000 | ps=1 | M1=001 M2=010 MT=100 S=100
Time=395000 | ps=2 | M1=001 M2=100 MT=001 S=100
Time=455000 | ps=3 | M1=010 M2=100 MT=010 S=100
Time=485000 | ps=4 | M1=100 M2=100 MT=100 S=001
Time=525000 | ps=5 | M1=100 M2=100 MT=100 S=010
Time=555000 | ps=0 | M1=001 M2=001 MT=100 S=100
Time=635000 | ps=1 | M1=001 M2=010 MT=100 S=100
Time=665000 | ps=2 | M1=001 M2=100 MT=001 S=100
Time=725000 | ps=3 | M1=010 M2=100 MT=010 S=100
Time=755000 | ps=4 | M1=100 M2=100 MT=100 S=001
Time=795000 | ps=5 | M1=100 M2=100 MT=100 S=010
Time=825000 | ps=0 | M1=001 M2=001 MT=100 S=100
Time=905000 | ps=1 | M1=001 M2=010 MT=100 S=100
Time=935000 | ps=2 | M1=001 M2=100 MT=001 S=100
Time=995000 | ps=3 | M1=010 M2=100 MT=010 S=100
